location_project,demo_category,season,total_season_days,total_duration,density_km2
1192B-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,82,397.84103687412426,3.7950694597835852
1192B-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,6,0,0
1192B-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,82,0,0
1192B-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,6,0,0
1192B-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,82,0,0
1192B-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,6,0,0
1192B-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,82,0,0
1192B-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,6,0,0
1192B-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,82,50.53100335219312,0.48643066765473025
1192B-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,6,0,0
1192B-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,82,20.531003352193114,0.19763925126563622
1192B-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,6,0,0
1192B-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,82,705.2354035243453,6.788864369051
1192B-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,6,0,0
1192B-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,82,0,0
1192B-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,6,0,0
1192B-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,82,556.0620067043862,5.30436466778434
1192B-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,6,0,0
